Key,Description,en,ja
AV-42C:av42cTheIsland:02_minesweeper:obj_1:info,Mission objective info.,Lead the strike group to the area of operations.,戦闘機部隊と共に AO（作戦エリア）に向かってください。
AV-42C:av42cTheIsland:02_minesweeper:obj_2:name,A mission objective name,Strike,攻撃
AV-42C:av42cTheIsland:02_minesweeper:obj_2:info,Mission objective info.,[Critical] Destroy the mine boats.,敵の機雷艇を破壊せよ。無人戦闘機の空母が確認されています。ミサイル攻撃も予想されますので、気をつけてください。
AV-42C:av42cTheIsland:02_minesweeper:obj_3:name,A mission objective name,Support,サポート
AV-42C:av42cTheIsland:02_minesweeper:obj_3:info,Mission objective info.,"If able, support your wingmen by destroying the carrier's weapons and drones.",もし可能であれば、敵空母の武器と敵無人戦闘機を破壊して僚機を支援してください。
AV-42C:av42cTheIsland:02_minesweeper:obj_4:name,A mission objective name,RTB,
AV-42C:av42cTheIsland:02_minesweeper:obj_4:info,Mission objective info.,Return to the airbase.,任務完了です。航空基地に戻り、着陸してください。
av42cTheIsland:03_redirection_name,Name of a mission.,Redirection,Redirection（再配置）
av42cTheIsland:03_redirection_description,Description of a mission.,Join the carrier fleet embarking on a pre-emptive naval strike.,空母を旗艦とする攻撃艦隊に参加せよ
AV-42C:av42cTheIsland:03_redirection:obj_0:name,A mission objective name,Search,迷子機を探す
AV-42C:av42cTheIsland:03_redirection:obj_0:info,Mission objective info.,Search for the lost pilot near the objective waypoint.,空母打撃群に合流するついでに、レーダーやナビシステムが故障した友軍機が迷子になっています。ウェイポイント近くで飛んでいると思われますので、肉眼で探し出してください。
AV-42C:av42cTheIsland:03_redirection:obj_1:name,A mission objective name,Join Tanker,空中給油機まで誘導
AV-42C:av42cTheIsland:03_redirection:obj_1:info,Mission objective info.,Lead the lost pilot to the refuel tanker.,迷子機は燃料が少なくなっていると思われます。空中給油機まで誘導してください。
AV-42C:av42cTheIsland:03_redirection:obj_2:name,A mission objective name,Refuel,空中給油
AV-42C:av42cTheIsland:03_redirection:obj_2:info,Mission objective info.,Allow the pilot to refuel.,迷子機のパイロットに空中給油の許可を出して、給油させてください。
AV-42C:av42cTheIsland:03_redirection:obj_3:name,A mission objective name,Join Carrier,空母に誘導
AV-42C:av42cTheIsland:03_redirection:obj_3:info,Mission objective info.,Lead the pilot to the aircraft carrier.,迷子機を近くにいる空母まで誘導し、着艦するのを確認してください。
AV-42C:av42cTheIsland:03_redirection:obj_4:name,A mission objective name,Land,着艦
AV-42C:av42cTheIsland:03_redirection:obj_4:info,Mission objective info.,Land on the aircraft carrier.,自分も続いて空母に着艦してください。標準的な着艦が不安な場合は垂直着陸でもOKです。
av42cTheIsland:04_openWater_name,Name of a mission.,Open Water,Open Water（公開海域）
av42cTheIsland:04_openWater_description,Description of a mission.,Meet the enemy in open water for a pre-emptive strike.,公開海域で敵への先制攻撃を開始する
AV-42C:av42cTheIsland:04_openWater:obj_0:name,A mission objective name,Join Strikers,攻撃部隊に参加
AV-42C:av42cTheIsland:04_openWater:obj_0:info,Mission objective info.,Join the striker group X-Ray1,攻撃戦闘機隊「X-Ray1」に参加し、直ちに発進してください。
AV-42C:av42cTheIsland:04_openWater:obj_1:name,A mission objective name,Defend,艦隊の防衛
AV-42C:av42cTheIsland:04_openWater:obj_1:info,Mission objective info.,Help defend the fleet from the incoming drones.,すでに敵無人戦闘機・攻撃機がこちらに迫っています。急いで敵無人戦闘機・攻撃機を排除し、艦隊を守ってください。
AV-42C:av42cTheIsland:04_openWater:obj_2:name,A mission objective name,Regroup,再編成
AV-42C:av42cTheIsland:04_openWater:obj_2:info,Mission objective info.,Join up with the fighters.,敵艦隊への反撃に移ります。攻撃部隊に参加してください。
AV-42C:av42cTheIsland:04_openWater:obj_3:name,A mission objective name,Fly to AO,作戦エリアへ
AV-42C:av42cTheIsland:04_openWater:obj_3:info,Mission objective info.,Vector to the enemy fleet.,敵艦隊がいると思われる座標に向かってください。
AV-42C:av42cTheIsland:04_openWater:obj_4:name,A mission objective name,Destroy Targets,ターゲットの破壊
AV-42C:av42cTheIsland:04_openWater:obj_4:info,Mission objective info.,"Destroy or disable all enemy weapon systems, sensors, and drones.",全ての敵の武器システム、センサー、無人戦闘機を破壊、または無効化してください。
AV-42C:av42cTheIsland:04_openWater:obj_5:name,A mission objective name,RTB,
AV-42C:av42cTheIsland:04_openWater:obj_5:info,Mission objective info.,Return to the fleet and land.,任務完了です。艦隊に戻って空母に着艦してください。
av42cTheIsland:05_silentIsland_name,Name of a mission.,Silent Island,静寂の島「Silent Island」
av42cTheIsland:05_silentIsland_description,Description of a mission.,Return to the island to investigate why communications have gone silent.,"島からの通信が途絶えた
島に戻って調査せよ"
AV-42C:av42cTheIsland:05_silentIsland:obj_0:name,A mission objective name,Join Tanker,空中給油機へ
AV-42C:av42cTheIsland:05_silentIsland:obj_0:info,Mission objective info.,Take off and fly to the aerial fuel tanker.,発艦して空中給油機に向かってください。
AV-42C:av42cTheIsland:05_silentIsland:obj_1:name,A mission objective name,Refuel 1,空中給油 1
AV-42C:av42cTheIsland:05_silentIsland:obj_1:info,Mission objective info.,Allow your Romeo1-1 to refuel.,Romeo1-1 の給油を許可し、空中給油させてください。
AV-42C:av42cTheIsland:05_silentIsland:obj_2:name,A mission objective name,Refuel 2,空中給油 2
AV-42C:av42cTheIsland:05_silentIsland:obj_2:info,Mission objective info.,Allow Romeo1-2 to refuel. Then you may refuel yourself if necessary.,Romeo1-2 の給油を許可し、空中給油させてください。必要であれば自分も空中給油してください。
AV-42C:av42cTheIsland:05_silentIsland:obj_3:name,A mission objective name,Investigate,调查
AV-42C:av42cTheIsland:05_silentIsland:obj_3:info,Mission objective info.,Investigate the island.,島の調査
AV-42C:av42cTheIsland:05_silentIsland:obj_4:name,A mission objective name,Retreat,撤退
AV-42C:av42cTheIsland:05_silentIsland:obj_4:info,Mission objective info.,Avoid the enemy fleet. Return to the waypoint and await orders.,敵艦隊が発見されました。非常に危険です。近寄らないようウェイポイントまで撤退し、次の命令を待ってください。
AV-42C:av42cTheIsland:05_silentIsland:obj_5:name,A mission objective name,CAS,CAS（近接航空支援）
AV-42C:av42cTheIsland:05_silentIsland:obj_5:info,Mission objective info.,Destroy the armored units moving toward our allied infantry.,味方の歩兵部隊に向かって移動する敵装甲部隊が確認されました。敵を破壊し味方歩兵部隊を援護してください。
AV-42C:av42cTheIsland:05_silentIsland:obj_6:name,A mission objective name,Exfil,脱出
AV-42C:av42cTheIsland:05_silentIsland:obj_6:info,Mission objective info.,Pick up Bravo squad.,味方歩兵部隊「Bravo」を救出のため、近くに着陸して機体に乗せ、急いで戦域を脱出してください。
AV-42C:av42cTheIsland:05_silentIsland:obj_7:name,A mission objective name,RTB,
AV-42C:av42cTheIsland:05_silentIsland:obj_7:info,Mission objective info.,Return to the aircraft carrier.,任務完了です。味方歩兵部隊と共に艦隊に戻り、空母に着艦してください。
av42cTheIsland:06_darkness_name,Name of a mission.,Darkness,暗闇
av42cTheIsland:06_darkness_description,Description of a mission.,Begin a counterattack under the cover of darkness.,闇に包まれた中で反撃を仕掛ける
AV-42C:av42cTheIsland:06_darkness:obj_0:name,A mission objective name,Begin,作戦開始
AV-42C:av42cTheIsland:06_darkness:obj_0:info,Mission objective info.,Take off and prepare for your anti-ship strike.,敵艦隊への攻撃準備をして、発艦してください。
AV-42C:av42cTheIsland:06_darkness:obj_1:name,A mission objective name,ASM Strike,ASM（対艦ミサイル）攻撃
AV-42C:av42cTheIsland:06_darkness:obj_1:info,Mission objective info.,Destroy the long range missile cruiser.,敵の巡洋艦が長距離ミサイルで我が艦隊を狙っています。こちらも長距離対艦ミサイルを使って、先に敵艦を撃破してください。
AV-42C:av42cTheIsland:06_darkness:obj_2:name,A mission objective name,RTB,
AV-42C:av42cTheIsland:06_darkness:obj_2:info,Mission objective info.,Return to the aircraft carrier.,任務完了です。艦隊に戻り空母に着艦してください。
av42cTheIsland:07_islandDefense_name,Name of a mission.,Island Defense,島の防衛
av42cTheIsland:07_islandDefense_description,Description of a mission.,Begin to take back the island and eliminate the enemy fleet off the northern coast.,"島の奪還を開始し、
北海岸沖の敵艦隊を撃破せよ"
AV-42C:av42cTheIsland:07_islandDefense:obj_6:name,A mission objective name,AntiShip 2,対艦攻撃 2
AV-42C:av42cTheIsland:07_islandDefense:obj_6:info,Mission objective info.,Destroy the incoming enemy carrier fleet.,迫りくる敵空母艦隊を撃破してください。
AV-42C:av42cTheIsland:07_islandDefense:obj_4:name,A mission objective name,AntiShip,対艦攻撃
AV-42C:av42cTheIsland:07_islandDefense:obj_4:info,Mission objective info.,Destroy the remaining enemy fleet.,残りの敵艦隊を撃破してください。
AV-42C:av42cTheIsland:07_islandDefense:obj_3:name,A mission objective name,Airbase,航空基地
AV-42C:av42cTheIsland:07_islandDefense:obj_3:info,Mission objective info.,Clear out the enemy units at the airbase.,航空基地の敵部隊を掃討してください。
AV-42C:av42cTheIsland:07_islandDefense:obj_7:name,A mission objective name,SEAD,
AV-42C:av42cTheIsland:07_islandDefense:obj_7:info,Mission objective info.,Destroy the enemy SAM site to allow reinforcements to take off.,敵のSAMサイトを破壊して、援軍の離着陸を可能にしてください。
AV-42C:av42cTheIsland:07_islandDefense:obj_8:name,A mission objective name,Launch,発進
AV-42C:av42cTheIsland:07_islandDefense:obj_8:info,Mission objective info.,,
AV-42C:av42cTheIsland:07_islandDefense:obj_9:name,A mission objective name,Regroup,再編成
AV-42C:av42cTheIsland:07_islandDefense:obj_9:info,Mission objective info.,"Rearm if necessary, then regroup with Victor 1.",必要ならば武装を再装備し、攻撃部隊「Victor1」に合流してください。
